PolY1,PolX1,PolY2,PolX2,PolY3,PolX3,PolY4,PolX4,PolY5,PolX5,PolY6,PolX6
15.47881549,80.89009218,3.739780789,0.506625261,24.26650805,61.69304397,6.208045982,35.61329432,10.79691955,22.19456523,15.81600002,80.48216971
15.81600002,80.48216971,3.34,0.5,24.42592634,60.99680409,6.284686034,35.70962427,10.99618369,22.44502311,16.14938425,80.06313441
16.14938425,80.06313441,-1,0.5,24.57892165,60.29538681,6.360429106,35.80847956,11.19311568,22.70204685,16.47886661,79.63311393
16.19905781,80,-1,-9.5,24.72544738,59.58900581,6.435252126,35.90983006,11.38765553,22.96555815,16.80434675,79.19223926
25.19905781,97.5,25.19906,-9.5,24.86545889,58.87787623,6.509132303,36.0136449,11.57974399,23.23547674,17.12572552,78.74064469
-1,97.5,16.19905781,8,24.99891354,58.16221472,6.582047131,36.11989246,11.76932254,23.51172041,17.44290502,78.27846778
,,,,25.12577068,57.44223926,6.6539744,36.22854039,11.95633344,23.794205,17.75578864,77.80584932
,,,,25.24599166,56.71816916,6.7248922,36.33955557,12.14071972,24.08284448,18.27756264,76.97884362
,,,,25.35953986,55.99022498,6.794778929,36.4529042,12.32242522,24.37755091,18.26240181,77.00358531
,,,,25.4663807,55.25862846,6.863613299,36.56855175,12.50139458,24.67823454,18.66771785,76.32679991
,,,,25.56648162,54.52360246,6.931374343,36.68646298,12.67757329,24.98480376,18.96247839,75.81388602
,,,,25.65981215,53.78537086,6.998041419,36.806602,12.85090769,25.29716519,19.25248017,75.29128131
,,,,25.74634384,53.04415855,7.06359422,36.92893219,13.02134497,25.61522369,19.53763486,74.75914498
,,,,25.82605035,52.3001913,7.128012778,37.0534163,13.18883322,25.93888237,19.81785559,74.21763911
,,,,25.89890738,51.55369573,7.191277471,37.1800164,13.35332143,26.26804264,20.093057,73.66692866
,,,,25.96489276,50.80489923,7.253369028,37.30869394,13.51475947,26.60260423,20.36315527,73.10718138
,,,,26.02398637,50.05402989,7.314268534,37.43940971,13.67309819,26.94246525,20.62806812,72.53856776
,,,,26.07617022,49.30131644,7.37395744,37.5721239,13.82828934,27.28752215,20.88771486,71.96126102
