Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY,XNBA3P,YNBA3P,Xbar1,Ybar1,Xbar2,Ybar2,Xbar3,Ybar3,Xbar4,Ybar4,Xbar5,Ybar5,Xbar6,Ybar6,Xbar7,Ybar7,Xbar8,Ybar8,Xbar9,Ybar9,Xbar10,Ybar10,Xbar11,Ybar11,Xbar12,Ybar12,Xbar13,Ybar13,Xbar14,Ybar14,Xbar15,Ybar15
4.625104239,44.92349221,93.31949666,45.44888874,18.6506383,32,78.3493617,32,22.90109485,53.45612904,74.09890515,53.45612904,17.12572552,78.74064469,79.87427448,78.74064469,2.686170213,49.28,94.31382979,49.28,44.60954344,53.45612904,48.5,-6.2,-1,-3,24.78058102,70.42145324,,,,,,,,,,,,,,,,,,,,,,,-0.130934909,37.88077969,0.756352669,37.42879756,5.92787868,37.59254185,6.98093491,37.88077969
4.616522209,44.94398059,93.34624877,45.4615551,18.6406383,32,78.3593617,32,22.98740758,53.32575154,74.01259242,53.32575154,17.44290502,78.27846778,79.55709498,78.27846778,2.686170213,49.27,94.31382979,49.27,44.52323072,53.32575154,48.5,-6.1,-1,-2.8,25.00215139,69.65,,,,,,,,,,,,,,,,,,,,,,,-0.076396682,37.84048582,0.696077771,37.37555315,5.87343275,37.64840488,6.92639668,37.84048582
4.60775319,44.96418141,93.37321736,45.47244078,18.6306383,32,78.3693617,32,23.07250894,53.19253332,73.92749106,53.19253332,17.75578864,77.80584932,79.24421136,77.80584932,2.686170213,49.26,94.31382979,49.26,44.43812936,53.19253332,48.5,-6,-1,-2.6,25.21712326,68.87073352,,,,,,,,,,,,,,,,,,,,,,,-0.020790921,37.80082024,0.728667339,37.37557006,5.82048665,37.70488051,6.87079092,37.80082024
4.598799855,44.98408854,93.40036958,45.48153251,18.6206383,32,78.3793617,32,23.15637301,53.05651496,73.84362699,53.05651496,18.06428107,77.32293328,78.93571893,77.32293328,2.686170213,49.25,94.31382979,49.25,44.35426528,53.05651496,48.5,-5.9,-1,-2.4,25.42543115,68.08389117,,,,,,,,,,,,,,,,,,,,,,,0.035865436,37.76179505,0.723270884,37.3780363,5.76905651,37.76195154,6.81413456,37.76179505
4.589664929,45.00369591,93.42767235,45.48881923,18.6106383,32,78.3893617,32,23.23897426,52.91773791,73.76102574,52.91773791,18.36828834,76.82986674,78.63171166,76.82986674,2.686170213,49.24,94.31382979,49.24,44.27166404,52.91773791,48.5,-5.8,-1,-2.2,25.6270116,67.28971264,,,,,,,,,,,,,,,,,,,,,,,0.093555131,37.72342212,0.791102187,37.34756361,5.71915798,37.81960058,6.75644487,37.72342212
4.580351195,45.02299754,93.45509241,45.49429205,18.6006383,32,78.3993617,32,23.32028751,52.77624442,73.67971249,52.77624442,18.66771785,76.32679991,78.33228215,76.32679991,2.686170213,49.23,94.31382979,49.23,44.19035079,52.77624442,48.5,-5.7,-1,-2,25.82180321,66.48843983,,,,,,,,,,,,,,,,,,,,,,,0.152260591,37.68571316,0.859736775,37.31786936,5.67080628,37.87781007,6.69773941,37.68571316
4.570861491,45.04198756,93.48259633,45.4979443,18.5906383,32,78.4093617,32,23.400288,52.6320776,73.599712,52.6320776,18.96247839,75.81388602,78.03752161,75.81388602,2.686170213,49.22,94.31382979,49.22,44.1103503,52.6320776,48.5,-5.6,-1,-1.8,26.00974664,65.68031683,,,,,,,,,,,,,,,,,,,,,,,0.211963934,37.64867963,0.929153742,37.2889626,5.62401612,37.93656229,6.63803607,37.64867963
4.561198707,45.06066017,93.51015063,45.49977154,18.5806383,32,78.4193617,32,23.47895136,52.48528137,73.52104864,52.48528137,19.25248017,75.29128131,77.74751983,75.29128131,2.686170213,49.21,94.31382979,49.21,44.03168694,52.48528137,48.5,-5.5,-1,-1.6,26.19078465,64.86558979,,,,,,,,,,,,,,,,,,,,,,,0.272646973,37.61233283,0.999331943,37.26085214,5.57880177,37.99583932,6.57735303,37.61233283
4.551365787,45.0790097,93.53772171,45.49977154,18.5706383,32,78.4293617,32,23.55625363,52.33590045,73.44374637,52.33590045,19.53763486,74.75914498,77.46236514,74.75914498,2.686170213,49.2,94.31382979,49.2,43.95438467,52.33590045,48.5,-5.4,-1,-1.4,26.36486209,64.04450689,,,,,,,,,,,,,,,,,,,,,,,0.334291225,37.57668382,1.07025,37.23354654,5.53517699,38.05562313,6.51570878,37.57668382
4.541365726,45.09703055,93.56527601,45.4979443,18.5606383,32,78.4393617,32,23.63217126,52.18398032,73.36782874,52.18398032,19.81785559,74.21763911,77.18214441,74.21763911,2.686170213,49.19,94.31382979,49.19,43.87846703,52.18398032,48.5,-5.3,-1,-1.2,26.53192594,63.21731824,,,,,,,,,,,,,,,,,,,,,,,0.317684267,37.56193537,1.141886312,37.20705411,5.49315507,38.11589549,6.53231573,37.56193537
4.531201569,45.11471724,93.59277994,45.49429205,18.5506383,32,78.4493617,32,23.70668113,52.02956728,73.29331887,52.02956728,20.093057,73.66692866,76.906943,73.66692866,2.686170213,49.18,94.31382979,49.18,43.80395717,52.02956728,48.5,-5.2,-1,-1,26.6919253,62.38427581,,,,,,,,,,,,,,,,,,,,,,,0.373040417,37.61083476,1.214219057,37.18138294,5.45274882,38.17663805,6.47695958,37.61083476
4.520876414,45.13206437,93.62019999,45.48881923,18.5406383,32,78.4593617,32,23.77976054,51.87270835,73.22023946,51.87270835,20.36315527,73.10718138,76.63684473,73.10718138,2.686170213,49.17,94.31382979,49.17,43.73087776,51.87270835,48.5,-5.1,-1,-0.8,26.84481143,61.54563335,,,,,,,,,,,,,,,,,,,,,,,0.427082531,37.66035819,1.287226202,37.15654083,5.41397054,38.23783231,6.42291747,37.66035819
4.510393404,45.14906666,93.64750276,45.48153251,18.5306383,32,78.4693617,32,23.85138723,51.71345132,73.14861277,51.71345132,20.62806812,72.53856776,76.37193188,72.53856776,2.686170213,49.16,94.31382979,49.16,43.65925107,51.71345132,48.5,-5,-1,-0.6,26.99053778,60.70164632,,,,,,,,,,,,,,,,,,,,,,,0.479794144,37.71049059,1.360885509,37.13253535,5.37683204,38.29945961,6.37020586,37.71049059
4.499755734,45.16571894,93.67465498,45.47244078,18.5206383,32,78.4793617,32,23.92153937,51.55184469,73.07846063,51.55184469,20.88771486,71.96126102,76.11228514,71.96126102,2.686170213,49.15,94.31382979,49.15,43.58909892,51.55184469,48.5,-4.9,-1,-0.4,27.12905994,59.85257181,,,,,,,,,,,,,,,,,,,,,,,0.531159202,37.76121666,1.435174539,37.10937383,5.34134464,38.36150121,6.3188408,37.76121666
4.488966644,45.18201613,93.70162357,45.4615551,18.5106383,32,78.4893617,32,23.99019561,51.3879377,73.00980439,51.3879377,21.1420164,71.37543701,75.8579836,71.37543701,2.686170213,49.14,94.31382979,49.14,43.52044268,51.3879377,48.5,-4.8,-1,-0.2,27.26033572,58.99866845,,,,,,,,,,,,,,,,,,,,,,,0.581162058,37.81252098,1.510070665,37.0870633,5.30751915,38.42393818,6.26883794,37.81252098
4.47802942,45.19795327,93.72837568,45.44888874,18.5006383,32,78.4993617,32,24.05733503,51.22178028,72.94266497,51.22178028,21.39089527,70.78127418,75.60910473,70.78127418,2.686170213,49.13,94.31382979,49.13,43.45330327,51.22178028,48.5,-4.7,-1,-2.05E-15,27.38432513,58.14019635,,,,,,,,,,,,,,,,,,,,,,,0.629787481,37.8643879,1.585551071,37.06561057,5.27536587,38.48675152,6.22021252,37.8643879
4.466947393,45.21352549,93.75487871,45.43445713,18.4906383,32,78.5093617,32,24.12293718,51.05342303,72.87706282,51.05342303,21.63427566,70.17895351,75.36572434,70.17895351,2.686170213,49.12,94.31382979,49.12,43.38770112,51.05342303,48.5,-4.6,-1,0.2,27.50099042,57.27741701,,,,,,,,,,,,,,,,,,,,,,,0.677020658,37.91680164,1.661592766,37.04502217,5.24489459,38.54992209,6.17297934,37.91680164
4.45572394,45.22872807,93.78110038,45.41827786,18.4806383,32,78.5193617,32,24.18698207,50.88291724,72.81301793,50.88291724,21.87208344,69.56865847,75.12791656,69.56865847,2.686170213,49.11,94.31382979,49.11,43.32365623,50.88291724,48.5,-4.5,-1,0.4,27.61029603,56.41059324,,,,,,,,,,,,,,,,,,,,,,,0.722847202,37.96974621,1.738172587,37.02530438,5.21611459,38.61343065,6.1271528,37.96974621
