Left,Right
Sacred Heart Pioneers,Brown Bears
Alabama A&M Bulldogs,BYU Cougars
New Mexico State Aggies,New Mexico Lobos
San Jose State Spartans,Bakersfield Roadrunners
UMKC Kangaroos,Eastern Washington Eagles
Mississippi Valley State Delta Devils,Robert Morris Colonials
California Merced Bobcats,UC Riverside Highlanders
Manhattan Jaspers,Northern Kentucky Norse
Western Illinois Leathernecks,Eastern Illinois Panthers
Bradley Braves,UIC Flames
Georgia Southern Eagles,Pepperdine Waves
Jacksonville Dolphins,South Alabama Jaguars
UAPB Golden Lions,Southern Illinois Salukis
Fisk University Bulldogs,Tennessee State Tigers
High Point Panthers,UMBC Retrievers
Stony Brook Seawolves,Norfolk State Spartans
Portland Pilots,CSUN Matadors
Willamette Bearcats,Portland State Vikings
Ball State Cardinals,Appalachian State Mountaineers
Holy Cross Crusaders,Siena Saints
North Dakota State Bison,Towson Tigers
Texas Southern Tigers,Evansville Aces
UC Davis Aggies,UT Arlington Mavericks
Cal State Fullerton Titans,Monmouth Hawks
Sacred Heart Pioneers,Massachusetts-Lowell River Hawks
Wilmington (DE) Wildcats,Delaware Fightin' Blue Hens
St. Francis Brooklyn Terriers,Lafayette Leopards
Bryant Bulldogs,Navy Midshipmen
Allen Yellow Jackets,UNCW Seahawks
Warren Wilson Owls,North Carolina Central Eagles
Central Arkansas Bears,Troy Trojans
Austin Peay Governors,Campbell Fighting Camels
UNC Asheville Bulldogs,Manhattan Jaspers
Air Force Falcons,South Dakota Coyotes
Army West Point Black Knights,Brown Bears
Alcorn State Braves,Kent State Golden Flashes
Southern Utah Thunderbirds,Seattle Redhawks
Jacksonville Dolphins,Chattanooga Mocs
Samford Bulldogs,Cleveland State Vikings
Columbia Lions,Fordham Rams
Bethesda Flames,Idaho Vandals
San Jose State Spartans,Central Michigan Chippewas
Northeastern Huskies,Davidson Wildcats
Tennessee Tech Golden Eagles,Michigan State Spartans
Miami (OH) RedHawks,Pepperdine Waves
Ohio Bobcats,Loyola Marymount Lions
Coastal Carolina Chanticleers,Northern Kentucky Norse
Montana Grizzlies,Georgia Southern Eagles
LIU Brooklyn Blackbirds,San Francisco Dons
Bakersfield Roadrunners,Weber State Wildcats
Florida A&M Rattlers,Central Connecticut State Blue Devils
Northern Arizona Lumberjacks,Hawaii Rainbow Warriors
Kennesaw State Owls,Eastern Kentucky Colonels
Hartford Hawks,Utah Valley Wolverines
Jackson State Tigers,Sam Houston State Bearkats
Louisiana Ragin' Cajuns,Colorado State Rams
St. Bonaventure Bonnies,Georgia State Panthers
Iona Gaels,Long Beach State 49ers
Bowling Green Falcons,Hampton Pirates
Air Force Falcons,High Point Panthers
Loyola Chicago Ramblers,Richmond Spiders
Binghamton Bearcats,Colgate Raiders
College of Saint Elizabeth Eagles,Delaware State Hornets
Chicago State Cougars,East Tennessee State Buccaneers
UAPB Golden Lions,Massachusetts Minutemen
Prairie View A&M Panthers,UNCG Spartans
Defiance Yellow Jackets,Oakland Golden Grizzlies
Coppin State Eagles,Rider Broncs
Eastern Michigan Eagles,Rutgers Scarlet Knights
Robert Morris Colonials,Stetson Hatters
SUNY-Oneonta Red Dragons,Albany Great Danes
Trinity Baptist Eagles,Charleston Southern Buccaneers
Loyola Maryland Greyhounds,Detroit Titans
Toledo Rockets,FGCU Eagles
Arlington Baptist Patriots,Lamar Cardinals
Ecclesia Royals,Oral Roberts Golden Eagles
Howard Bison,Southern Illinois Salukis
Southeast Missouri State Redhawks,South Alabama Jaguars
Utah State Aggies,Saint Mary's Gaels
UMBC Retrievers,South Dakota Coyotes
Bethesda Flames,Idaho State Bengals
Lewis & Clark Pioneers,Portland Pilots
Akron Zips,Illinois State Redbirds
Western Carolina Catamounts,Jacksonville State Gamecocks
Colorado State Rams,FGCU Eagles
Jackson State Tigers,Chicago State Cougars
St. Bonaventure Bonnies,Boise State Broncos
Hampton Pirates,Loyola Maryland Greyhounds
Methodist Monarchs,Coastal Carolina Chanticleers
Sam Houston State Bearkats,East Tennessee State Buccaneers
North Carolina Central Eagles,George Mason Patriots
Citadel Bulldogs,James Madison Dukes
Savannah State Tigers,Kent State Golden Flashes
Maryland Eastern Shore Hawks,Mercer Bears
Southeastern Louisiana Lions,Mississippi Valley State Delta Devils
Navy Midshipmen,Morgan State Bears
Quinnipiac Bobcats,New Hampshire Wildcats
Kentucky Christian Knights,VMI Keydets
NJIT Highlanders,Wagner Seahawks
Radford Highlanders,William & Mary Tribe
South Carolina State Bulldogs,Purdue Fort Wayne Mastodons
Regent Royals,Norfolk State Spartans
Holy Cross Crusaders,Albany Great Danes
Martin Methodist RedHawks,North Alabama Lions
Trevecca Nazarene Trojans,Belmont Bruins
Bowling Green Falcons,Detroit Titans
Mobile Rams,McNeese State Cowboys
Louisiana Ragin' Cajuns,Toledo Rockets
Omaha Mavericks,Bethune-Cookman Wildcats
LIU Brooklyn Blackbirds,Milwaukee Panthers
Concordia (NE) Bulldogs,North Dakota Fighting Hawks
Champion Baptist College Tigers,Grambling State Tigers
Marist Red Foxes,Stephen F. Austin Lumberjacks
Pacific Tigers,UNLV Runnin' Rebels
Tennessee State Tigers,CSUN Matadors
UC Davis Aggies,Sacramento State Hornets
Akron Zips,St. Bonaventure Bonnies
Illinois State Redbirds,Boise State Broncos
South Dakota State Jackrabbits,Colorado State Rams
Hartford Hawks,Iona Gaels
Salve Regina Seahawks,Brown Bears
Boston University Terriers,Drexel Dragons
Jacksonville State Gamecocks,North Florida Ospreys
Western Illinois Leathernecks,UT Martin Skyhawks
Utah Valley Wolverines,Long Beach State 49ers
North Carolina A&T Aggies,Mount St. Mary's Mountaineers
Richmond Spiders,Wyoming Cowboys
Lehigh Mountain Hawks,Siena Saints
