Left,Right
Purdue Fort Wayne Mastodons,Siena Heights Saints
Albany Great Danes,Manhattan Jaspers
Northern Kentucky Norse,Northern Illinois Huskies
North Texas Mean Green,UAPB Golden Lions
South Alabama Jaguars,Mobile Rams
Long Beach State 49ers,Pepperdine Waves
Seattle Redhawks,Prairie View A&M Panthers
Portland State Vikings,Bakersfield Roadrunners
Bryant Bulldogs,Dartmouth Big Green
Alabama State Hornets,Liberty Flames
LIU Brooklyn Blackbirds,Binghamton Bearcats
Northeastern Huskies,St. Bonaventure Bonnies
Chattanooga Mocs,Bryan College Lions
Bowling Green Falcons,Western Carolina Catamounts
UMBC Retrievers,Hood Blazers
UNC Asheville Bulldogs,Milligan Buffaloes
Austin Peay Governors,Campbell Fighting Camels
Massachusetts Minutemen,Fairleigh Dickinson Knights
Eastern Washington Eagles,Corban Warriors
Morehead State Eagles,IUPUI Jaguars
Radford Highlanders,Georgia Southern Eagles
Boston University Terriers,Bethune-Cookman Wildcats
Charleston Cougars,Coastal Carolina Chanticleers
George Mason Patriots,Navy Midshipmen
Lafayette Leopards,Princeton Tigers
Mercer Bears,UNCW Seahawks
VMI Keydets,North Alabama Lions
Wyoming Cowboys,East Tennessee State Buccaneers
Longwood Lancers,Stetson Hatters
Massachusetts-Lowell River Hawks,Loyola Maryland Greyhounds
Charleston Southern Buccaneers,Johnson & Wales (NC) Wildcats
La Salle Explorers,Alabama A&M Bulldogs
Southeast Missouri State Redhawks,Abilene Christian Wildcats
Stephen F. Austin Lumberjacks,Arlington Baptist Patriots
UIC Flames,St. Francis (IL) Fighting Saints
Lamar Cardinals,Howard Payne Yellow Jackets
Louisiana-Monroe Warhawks,Coppin State Eagles
Portland Pilots,Florida A&M Rattlers
Lipscomb Bisons,Vermont Catamounts
Cal Poly Mustangs,UT Arlington Mavericks
Santa Clara Broncos,Idaho Vandals
American University Eagles,Maryland Eastern Shore Hawks
Campbell Fighting Camels,Alabama State Hornets
Davidson Wildcats,Central Pennsylvania College Knights
Lehigh Mountain Hawks,Saint Francis U Red Flash
Holy Cross Crusaders,Siena Saints
Army West Point Black Knights,Niagara Purple Eagles
Central Michigan Chippewas,Jackson State Tigers
Hofstra Pride,Rosemont College Ravens
Maine Black Bears,Central Connecticut State Blue Devils
Marist Red Foxes,Brown Bears
New Hampshire Wildcats,Fairfield Stags
Bradley Braves,Southeastern Louisiana Lions
Dayton Flyers,Presbyterian Blue Hose
Duquesne Dukes,Eastern Kentucky Colonels
Eastern Michigan Eagles,Siena Heights Saints
Harvard Crimson,George Washington Colonials
Northern Illinois Huskies,Chicago State Cougars
UNI Panthers,North Dakota Fighting Hawks
CSUN Matadors,SIUE Cougars
Missouri State Bears,UAPB Golden Lions
Wagner Seahawks,Hartford Hawks
Yale Bulldogs,Iona Gaels
Quinnipiac Bobcats,Stony Brook Seawolves
Austin Peay Governors,Liberty Flames
La Salle Explorers,Towson Tigers
Richmond Spiders,High Point Panthers
Boise State Broncos,Pacific Tigers
UMKC Kangaroos,Elon Phoenix
Nicholls Colonels,Mobile Rams
Samford Bulldogs,UNCG Spartans
Western Michigan Broncos,Milwaukee Panthers
Mount St. Mary's Mountaineers,St. Mary's (MD) Seahawks
New Mexico Lobos,Penn Quakers
Southern Illinois Salukis,Winthrop Eagles
Weber State Wildcats,Delaware State Hornets
Utah Valley Wolverines,Sam Houston State Bearkats
Rider Broncs,Northern Colorado Bears
Evansville Aces,Green Bay Phoenix
Long Beach State 49ers,Colorado State Rams
UC Santa Barbara Gauchos,Idaho State Bengals
Saint Joseph's Hawks,Loyola Chicago Ramblers
Hampton Pirates,Howard Bison
UC Riverside Highlanders,Loyola Marymount Lions
Hawaii Rainbow Warriors,UNLV Runnin' Rebels
Fresno State Bulldogs,UT Martin Skyhawks
San Diego State Aztecs,BYU Cougars
Drake Bulldogs,New Mexico State Aggies
UT Rio Grande Valley Vaqueros,McNeese State Cowboys
South Dakota State Jackrabbits,Montana Grizzlies
Grand Canyon Antelopes,Mississippi Valley State Delta Devils
Norfolk State Spartans,East Tennessee State Buccaneers
Bucknell Bison,Rhode Island Rams
Northern Colorado Bears,SIUE Cougars
St. Francis Brooklyn Terriers,Manhattan Jaspers
UNLV Runnin' Rebels,Indiana State Sycamores
Rider Broncs,CSUN Matadors
San Diego Toreros,Drake Bulldogs
Youngstown State Penguins,Detroit Titans
Georgia Tech Yellow Jackets,Kennesaw State Owls
Western Illinois Leathernecks,South Dakota State Jackrabbits
Cleveland State Vikings,Oakland Golden Grizzlies
Elon Phoenix,Towson Tigers
Hofstra Pride,Delaware Fightin' Blue Hens
Kent State Golden Flashes,Albany Great Danes
North Carolina State Wolfpack,Loyola Maryland Greyhounds
Northeastern Huskies,Drexel Dragons
Virginia Tech Hokies,Maryland Eastern Shore Hawks
William & Mary Tribe,James Madison Dukes
Wright State Raiders,UIC Flames
Hawaii Pacific Sharks,TCU Horned Frogs
Northern Kentucky Norse,IUPUI Jaguars
Air Force Falcons,UC Riverside Highlanders
Arkansas Razorbacks,Austin Peay Governors
Marquette Golden Eagles,Southern University Jaguars
Texas Longhorns,UT Arlington Mavericks
North Dakota Fighting Hawks,Purdue Fort Wayne Mastodons
Omaha Mavericks,Denver Pioneers
Utah State Aggies,Eastern Oregon Mountaineers
North Dakota State Bison,South Dakota Coyotes
Loyola Marymount Lions,UC Davis Aggies
Mississippi State Bulldogs,BYU Cougars
Notre Dame Fighting Irish,Coppin State Eagles
Western Carolina Catamounts,Wofford Terriers
Winthrop Eagles,Prairie View A&M Panthers
Citadel Bulldogs,Longwood Lancers
Georgia State Panthers,Middle Georgia State Knights
Memphis Tigers,Florida A&M Rattlers
South Florida Bulls,Fairleigh Dickinson Knights
Saint Peter's Peacocks,Hampton Pirates
Troy Trojans,UAPB Golden Lions
North Dakota Fighting Hawks,Purdue Fort Wayne Mastodons
North Dakota State Bison,South Dakota Coyotes
Harvard Crimson,Mercer Bears
Abilene Christian Wildcats,McMurry War Hawks
Ball State Cardinals,Delaware State Hornets
DePaul Blue Demons,Xavier Musketeers
George Washington Colonials,American University Eagles
Hartford Hawks,Marist Red Foxes
Houston Baptist Huskies,Dallas Christian Crusaders
Louisville Cardinals,Kentucky Wildcats
Michigan State Spartans,Northern Illinois Huskies
UNC Asheville Bulldogs,Fayetteville State Broncos
Nicholls Colonels,Campbellsville-Harrodsburg Tigers
Oklahoma State Cowboys,Texas A&M-Corpus Christi Islanders
Siena Saints,Cal Poly Mustangs
Saint Joseph's Hawks,Wagner Seahawks
Syracuse Orange,St. Bonaventure Bonnies
Toledo Rockets,Penn Quakers
Utah Runnin' Utes,Nevada Wolf Pack
Valparaiso Crusaders,Purdue Northwest Pride
Wake Forest Demon Deacons,Gardner-Webb Runnin' Bulldogs
Washington State Cougars,Santa Clara Broncos
Sacred Heart Pioneers,Massachusetts-Lowell River Hawks
Drake Bulldogs,McKendree Bearcats
Lamar Cardinals,Champion Baptist College Tigers
Niagara Purple Eagles,Norfolk State Spartans
Rutgers Scarlet Knights,Maine Black Bears
Samford Bulldogs,VMI Keydets
Dayton Flyers,Georgia Southern Eagles
Texas A&M Aggies,Texas Southern Tigers
East Tennessee State Buccaneers,Furman Paladins
Houston Cougars,NJIT Highlanders
Miami (FL) Hurricanes,Campbell Fighting Camels
Northern Arizona Lumberjacks,Montana Grizzlies
Robert Morris Colonials,Hood Blazers
Southern Utah Thunderbirds,Montana State Bobcats
South Alabama Jaguars,Richmond Spiders
USC Upstate Spartans,Coker Cobras
UNCG Spartans,Chattanooga Mocs
Southeastern Louisiana Lions,Louisiana Ragin' Cajuns
Texas State Bobcats,Howard Payne Yellow Jackets
Eastern Washington Eagles,Weber State Wildcats
Jacksonville State Gamecocks,Reinhardt Eagles
Eastern Kentucky Colonels,Brescia Bearcats
Maryland Terrapins,Radford Highlanders
Wyoming Cowboys,Dixie State Rebels
Canisius Golden Griffins,Buffalo Bulls
UNCW Seahawks,Charleston Cougars
Boise State Broncos,Oregon Ducks
Fresno State Bulldogs,Utah Valley Wolverines
Arkansas State Red Wolves,Harding Bison
California Golden Bears,Seattle Redhawks
Iowa Hawkeyes,Bryant Bulldogs
Jackson State Tigers,Miles Golden Bears
Murray State Racers,Bethel (TN) Wildcats
UNI Panthers,Stony Brook Seawolves
San Diego State Aztecs,Brown Bears
Saint Mary's Gaels,San Jose State Spartans
Milwaukee Panthers,Green Bay Phoenix
Seton Hall Pirates,St. John's Red Storm
Cal State Fullerton Titans,Portland Pilots
Idaho Vandals,Idaho State Bengals
CSUN Matadors,Morgan State Bears
Pacific Tigers,UC Irvine Anteaters
San Diego Toreros,Grand Canyon Antelopes
UC Santa Barbara Gauchos,San Francisco Dons
California Baptist Lancers,La Verne Leopards
Sacramento State Hornets,Northern Colorado Bears
Hawaii Rainbow Warriors,Alabama A&M Bulldogs
Dartmouth Big Green,New Hampshire Wildcats
Michigan Wolverines,Binghamton Bearcats
Central Michigan Chippewas,IU-South Bend Titans
Cornell Big Red,Navy Midshipmen
Iona Gaels,Holy Cross Crusaders
Miami (OH) RedHawks,Evansville Aces
Akron Zips,Carnegie Mellon Tartans
Jacksonville Dolphins,Presbyterian Blue Hose
Ohio Bobcats,FIU Golden Panthers
VCU Rams,Rider Broncs
Youngstown State Penguins,Oakland Golden Grizzlies
North Carolina Central Eagles,Wilberforce Bulldogs
Bowling Green Falcons,UT Martin Skyhawks
Eastern Illinois Panthers,North Alabama Lions
Saint Louis Billikens,Appalachian State Mountaineers
Wright State Raiders,IUPUI Jaguars
Colorado State Rams,New Mexico State Aggies
Elon Phoenix,James Madison Dukes
Hofstra Pride,Drexel Dragons
Western Michigan Broncos,UC Riverside Highlanders
William & Mary Tribe,Towson Tigers
Southwest Mustangs,New Mexico Lobos
McNeese State Cowboys,Campbellsville-Harrodsburg Tigers
Northeastern Huskies,Delaware Fightin' Blue Hens
Northwestern State Demons,Champion Baptist College Tigers
Central Arkansas Bears,Lyon Scots
North Dakota State Bison,Purdue Fort Wayne Mastodons
Charleston Southern Buccaneers,Piedmont International Bruins
Western Illinois Leathernecks,Denver Pioneers
Omaha Mavericks,Oral Roberts Golden Eagles
Georgia Bulldogs,Massachusetts Minutemen
Missouri State Bears,William Woods Owls
SIUE Cougars,Missouri Science & Technology Miners
Northern Kentucky Norse,UIC Flames
Cleveland State Vikings,Detroit Titans
Fordham Rams,LIU Brooklyn Blackbirds
USC Trojans,UC Davis Aggies
UMBC Retrievers,Centenary (NJ) Cyclones
Maryland Eastern Shore Hawks,Chestnut Hill Griffins
Penn Quakers,Monmouth Hawks
Virginia Cavaliers,Marshall Thundering Herd
Duquesne Dukes,NJIT Highlanders
Kent State Golden Flashes,Oberlin College Yeomen
Northern Arizona Lumberjacks,Montana State Bobcats
Sam Houston State Bearkats,Texas Lutheran Bulldogs
Niagara Purple Eagles,Albany Great Danes
Idaho Vandals,Weber State Wildcats
Eastern Washington Eagles,Idaho State Bengals
Portland State Vikings,Northern Colorado Bears
Pepperdine Waves,Alabama A&M Bulldogs
Southern Utah Thunderbirds,Montana Grizzlies
Radford Highlanders,Mars Hill Lions
San Diego State Aztecs,CSUN Matadors
Prairie View A&M Panthers,Huston-Tillotson Rams
South Carolina State Bulldogs,Presbyterian Blue Hose
Abilene Christian Wildcats,New Orleans Privateers
Maryland Terrapins,Nebraska Cornhuskers
American University Eagles,Boston University Terriers
Army West Point Black Knights,Bucknell Bison
Brown Bears,Maine Black Bears
Butler Bulldogs,Georgetown Hoyas
Campbell Fighting Camels,Allen Yellow Jackets
Evansville Aces,Drake Bulldogs
Lehigh Mountain Hawks,Lafayette Leopards
North Carolina Tar Heels,Harvard Crimson
North Florida Ospreys,Florida National Conquistadors
Vermont Catamounts,Dartmouth Big Green
Yale Bulldogs,Kennesaw State Owls
High Point Panthers,Washington College Shoremen
Binghamton Bearcats,Columbia Lions
Georgia Tech Yellow Jackets,USC Upstate Spartans
Northwestern State Demons,Nicholls Colonels
Stephen F. Austin Lumberjacks,Southeastern Louisiana Lions
Bradley Braves,UNI Panthers
Houston Baptist Huskies,Lamar Cardinals
SMU Mustangs,East Carolina Pirates
Southern Illinois Salukis,Missouri State Bears
Valparaiso Crusaders,Illinois State Redbirds
Texas A&M-Corpus Christi Islanders,Central Arkansas Bears
Omaha Mavericks,North Dakota State Bison
UIW Cardinals,McNeese State Cowboys
Michigan State Spartans,Northwestern Wildcats
Villanova Wildcats,DePaul Blue Demons
Air Force Falcons,New Mexico Lobos
Denver Pioneers,South Dakota Coyotes
Kansas Jayhawks,Oklahoma Sooners
Loyola Chicago Ramblers,Indiana State Sycamores
Wyoming Cowboys,Boise State Broncos
San Jose State Spartans,Fresno State Bulldogs
UC Santa Barbara Gauchos,Bethesda Flames
UNLV Runnin' Rebels,Colorado State Rams
Morgan State Bears,Lincoln (PA) Lions
Saint Peter's Peacocks,Siena Saints
Sacred Heart Pioneers,LIU Brooklyn Blackbirds
Central Connecticut State Blue Devils,Wagner Seahawks
Delaware Fightin' Blue Hens,William & Mary Tribe
Detroit Titans,Wright State Raiders
Drexel Dragons,Elon Phoenix
East Tennessee State Buccaneers,Samford Bulldogs
Fairfield Stags,Rider Broncs
Furman Paladins,Mercer Bears
Indiana Hoosiers,Illinois Fighting Illini
Iona Gaels,Monmouth Hawks
James Madison Dukes,UNCW Seahawks
Loyola Maryland Greyhounds,Holy Cross Crusaders
Manhattan Jaspers,Quinnipiac Bobcats
Marist Red Foxes,Canisius Golden Griffins
Miami (FL) Hurricanes,North Carolina State Wolfpack
Michigan Wolverines,Penn State Nittany Lions
Navy Midshipmen,Colgate Raiders
Oakland Golden Grizzlies,Northern Kentucky Norse
Robert Morris Colonials,Fairleigh Dickinson Knights
Saint Francis U Red Flash,Mount St. Mary's Mountaineers
Stetson Hatters,Edward Waters Tigers
Towson Tigers,Charleston Cougars
Troy Trojans,Coastal Carolina Chanticleers
Western Carolina Catamounts,Chattanooga Mocs
Wofford Terriers,Citadel Bulldogs
Bryant Bulldogs,St. Francis Brooklyn Terriers
Saint Joseph's Hawks,George Mason Patriots
Purdue Fort Wayne Mastodons,South Dakota State Jackrabbits
Grand Canyon Antelopes,Utah Valley Wolverines
Louisiana-Monroe Warhawks,Little Rock Trojans
Oral Roberts Golden Eagles,North Dakota Fighting Hawks
South Alabama Jaguars,Appalachian State Mountaineers
Louisiana Ragin' Cajuns,Arkansas State Red Wolves
Texas State Bobcats,Georgia Southern Eagles
UT Arlington Mavericks,Georgia State Panthers
Green Bay Phoenix,Youngstown State Penguins
Milwaukee Panthers,Cleveland State Vikings
Murray State Racers,Morehead State Eagles
Eastern Illinois Panthers,UT Martin Skyhawks
Belmont Bruins,Jacksonville State Gamecocks
Montana Grizzlies,Sacramento State Hornets
Montana State Bobcats,Portland State Vikings
San Francisco Dons,Saint Mary's Gaels
Weber State Wildcats,Northern Arizona Lumberjacks
Idaho State Bengals,Southern Utah Thunderbirds
Austin Peay Governors,Eastern Kentucky Colonels
SIUE Cougars,Southeast Missouri State Redhawks
Tennessee State Tigers,Tennessee Tech Golden Eagles
UC Irvine Anteaters,UT Rio Grande Valley Vaqueros
Pepperdine Waves,Loyola Marymount Lions
Santa Clara Broncos,San Diego Toreros
USC Trojans,California Golden Bears
California Baptist Lancers,New Mexico State Aggies
Bakersfield Roadrunners,Seattle Redhawks
Idaho Vandals,Eastern Washington Eagles
Pacific Tigers,BYU Cougars
Cornell Big Red,Johnson & Wales (RI) Wildcats
UIC Flames,IUPUI Jaguars
Cal Poly Mustangs,Holy Names Hawks
UC Riverside Highlanders,Bethesda Flames
Notre Dame Fighting Irish,Syracuse Orange
Virginia Tech Hokies,Boston College Eagles
Army West Point Black Knights,Lafayette Leopards
Boston University Terriers,Bucknell Bison
Detroit Titans,Northern Kentucky Norse
East Carolina Pirates,Cincinnati Bearcats
Iona Gaels,Fairfield Stags
Massachusetts Minutemen,La Salle Explorers
UMBC Retrievers,Maine Black Bears
VMI Keydets,UNCG Spartans
Green Bay Phoenix,Cleveland State Vikings
Massachusetts-Lowell River Hawks,Stony Brook Seawolves
Akron Zips,Western Michigan Broncos
Arizona Wildcats,Utah Runnin' Utes
Fordham Rams,VCU Rams
Georgia Tech Yellow Jackets,Wake Forest Demon Deacons
Indiana State Sycamores,Bradley Braves
Miami (OH) RedHawks,Central Michigan Chippewas
Monmouth Hawks,Saint Peter's Peacocks
UNC Asheville Bulldogs,Winthrop Eagles
Ohio Bobcats,Northern Illinois Huskies
Providence Friars,Villanova Wildcats
Rutgers Scarlet Knights,Maryland Terrapins
Missouri State Bears,Valparaiso Crusaders
Towson Tigers,UNCW Seahawks
Western Carolina Catamounts,Samford Bulldogs
Binghamton Bearcats,New Hampshire Wildcats
Denver Pioneers,North Dakota Fighting Hawks
Drake Bulldogs,Loyola Chicago Ramblers
UMKC Kangaroos,Chicago State Cougars
Louisiana-Monroe Warhawks,Arkansas State Red Wolves
New Orleans Privateers,Houston Baptist Huskies
Oakland Golden Grizzlies,Wright State Raiders
UT Arlington Mavericks,Georgia Southern Eagles
Troy Trojans,Appalachian State Mountaineers
Tennessee Volunteers,Georgia Bulldogs
Sacred Heart Pioneers,Central Connecticut State Blue Devils
Drexel Dragons,William & Mary Tribe
East Tennessee State Buccaneers,Chattanooga Mocs
Furman Paladins,Citadel Bulldogs
Hofstra Pride,Northeastern Huskies
Howard Bison,Florida A&M Rattlers
Illinois State Redbirds,Evansville Aces
James Madison Dukes,Charleston Cougars
Montana State Bobcats,Sacramento State Hornets
Presbyterian Blue Hose,USC Upstate Spartans
South Alabama Jaguars,Coastal Carolina Chanticleers
TCU Horned Frogs,Baylor Bears
UCLA Bruins,California Golden Bears
Wagner Seahawks,St. Francis Brooklyn Terriers
NJIT Highlanders,Kennesaw State Owls
Bryant Bulldogs,LIU Brooklyn Blackbirds
North Carolina Central Eagles,Bethune-Cookman Wildcats
Campbell Fighting Camels,Gardner-Webb Runnin' Bulldogs
Eastern Illinois Panthers,SIUE Cougars
Northwestern State Demons,McNeese State Cowboys
Radford Highlanders,Longwood Lancers
South Carolina State Bulldogs,North Carolina A&T Aggies
Morgan State Bears,Maryland Eastern Shore Hawks
Coppin State Eagles,Savannah State Tigers
Austin Peay Governors,Morehead State Eagles
North Florida Ospreys,North Alabama Lions
Princeton Tigers,Penn Quakers
Robert Morris Colonials,Mount St. Mary's Mountaineers
Southeastern Louisiana Lions,Central Arkansas Bears
Texas State Bobcats,Georgia State Panthers
Milwaukee Panthers,Youngstown State Penguins
Charleston Southern Buccaneers,High Point Panthers
Lamar Cardinals,Texas A&M-Corpus Christi Islanders
Southeast Missouri State Redhawks,UT Martin Skyhawks
Arizona State Sun Devils,Colorado Buffaloes
Belmont Bruins,Tennessee Tech Golden Eagles
Davidson Wildcats,Duquesne Dukes
Jacksonville Dolphins,Lipscomb Bisons
Loyola Marymount Lions,Portland Pilots
Middle Tennessee Blue Raiders,Florida Atlantic Owls
Northern Colorado Bears,Idaho Vandals
Tennessee State Tigers,Jacksonville State Gamecocks
Alabama State Hornets,Grambling State Tigers
Alcorn State Braves,Texas Southern Tigers
Southern University Jaguars,Prairie View A&M Panthers
Sam Houston State Bearkats,Abilene Christian Wildcats
Norfolk State Spartans,Delaware State Hornets
Delaware Fightin' Blue Hens,Elon Phoenix
Kent State Golden Flashes,Bowling Green Falcons
Manhattan Jaspers,Niagara Purple Eagles
Old Dominion Monarchs,Western Kentucky Hilltoppers
Rider Broncs,Quinnipiac Bobcats
Siena Saints,Canisius Golden Griffins
Saint Francis U Red Flash,Fairleigh Dickinson Knights
Wofford Terriers,Mercer Bears
Alabama A&M Bulldogs,Jackson State Tigers
Albany Great Danes,Vermont Catamounts
FGCU Eagles,Liberty Flames
UAB Blazers,FIU Golden Panthers
UC Davis Aggies,Holy Names Hawks
Grand Canyon Antelopes,Seattle Redhawks
Murray State Racers,Eastern Kentucky Colonels
New Mexico Lobos,Nevada Wolf Pack
UNI Panthers,Southern Illinois Salukis
Oral Roberts Golden Eagles,Western Illinois Leathernecks
Pepperdine Waves,San Francisco Dons
Louisiana Ragin' Cajuns,Little Rock Trojans
UIW Cardinals,Nicholls Colonels
UAPB Golden Lions,Mississippi Valley State Delta Devils
Vanderbilt Commodores,Ole Miss Rebels
Montana Grizzlies,Portland State Vikings
Utah State Aggies,Air Force Falcons
Weber State Wildcats,Southern Utah Thunderbirds
Idaho State Bengals,Northern Arizona Lumberjacks
Boise State Broncos,San Diego State Aztecs
Fresno State Bulldogs,Colorado State Rams
Long Beach State 49ers,Bethesda Flames
UNLV Runnin' Rebels,Wyoming Cowboys
CSUN Matadors,Yale Bulldogs
California Baptist Lancers,UT Rio Grande Valley Vaqueros
Bakersfield Roadrunners,Utah Valley Wolverines
San Diego Toreros,Pacific Tigers
Saint Mary's Gaels,BYU Cougars
Dayton Flyers,Richmond Spiders
Marquette Golden Eagles,Xavier Musketeers
DePaul Blue Demons,Seton Hall Pirates
Navy Midshipmen,Holy Cross Crusaders
Northwestern Wildcats,Illinois Fighting Illini
Colgate Raiders,American University Eagles
Harvard Crimson,McGill Redmen
Lehigh Mountain Hawks,Loyola Maryland Greyhounds
Saint Joseph's Hawks,George Washington Colonials
North Dakota State Bison,Dickinson State Blue Hawks
George Mason Patriots,St. Bonaventure Bonnies
Saint Louis Billikens,Rhode Island Rams
Michigan Wolverines,Indiana Hoosiers
South Dakota Coyotes,South Dakota State Jackrabbits
Iowa Hawkeyes,Nebraska Cornhuskers
Houston Cougars,Memphis Tigers
USC Trojans,Stanford Cardinal
Fairfield Stags,Niagara Purple Eagles
Delaware State Hornets,Coppin State Eagles
Maryland Eastern Shore Hawks,Howard Bison
Morgan State Bears,Savannah State Tigers
Norfolk State Spartans,Florida A&M Rattlers
Alabama State Hornets,Jackson State Tigers
Alcorn State Braves,Prairie View A&M Panthers
Southern University Jaguars,Texas Southern Tigers
Alabama A&M Bulldogs,Grambling State Tigers
Northern Colorado Bears,Eastern Washington Eagles
Ball State Cardinals,Eastern Michigan Eagles
Bowling Green Falcons,Ohio Bobcats
Canisius Golden Griffins,Brown Bears
Central Michigan Chippewas,Akron Zips
Indiana State Sycamores,Missouri State Bears
Kent State Golden Flashes,Western Michigan Broncos
Kentucky Wildcats,Texas A&M Aggies
Marist Red Foxes,Manhattan Jaspers
Miami (OH) RedHawks,Northern Illinois Huskies
Minnesota Golden Gophers,Maryland Terrapins
Missouri Tigers,Tennessee Volunteers
Villanova Wildcats,St. John's Red Storm
Yale Bulldogs,Skidmore Thoroughbreds
North Carolina A&T Aggies,Mid-Atlantic Christian Mustangs
Drake Bulldogs,Southern Illinois Salukis
Evansville Aces,Loyola Chicago Ramblers
Illinois State Redbirds,UNI Panthers
Valparaiso Crusaders,Bradley Braves
Colorado State Rams,Air Force Falcons
North Alabama Lions,FGCU Eagles
San Diego State Aztecs,Wyoming Cowboys
New Mexico Lobos,UNLV Runnin' Rebels
Georgia Bulldogs,Vanderbilt Commodores
Xavier Musketeers,Georgetown Hoyas
American University Eagles,Navy Midshipmen
Boston University Terriers,Army West Point Black Knights
Bucknell Bison,Colgate Raiders
George Washington Colonials,Dayton Flyers
George Mason Patriots,Davidson Wildcats
Georgia Tech Yellow Jackets,Virginia Tech Hokies
Hartford Hawks,UMBC Retrievers
Kansas State Wildcats,West Virginia Mountaineers
Lafayette Leopards,Loyola Maryland Greyhounds
Maine Black Bears,Vermont Catamounts
New Hampshire Wildcats,Massachusetts-Lowell River Hawks
Richmond Spiders,Rhode Island Rams
Rutgers Scarlet Knights,Ohio State Buckeyes
South Florida Bulls,Tulane Green Wave
St. Bonaventure Bonnies,Saint Joseph's Hawks
Stetson Hatters,Liberty Flames
Stony Brook Seawolves,Binghamton Bearcats
Towson Tigers,Cornell Big Red
VCU Rams,La Salle Explorers
Kennesaw State Owls,Jacksonville Dolphins
Holy Cross Crusaders,Lehigh Mountain Hawks
McNeese State Cowboys,Abilene Christian Wildcats
Northwestern State Demons,Texas A&M-Corpus Christi Islanders
Lipscomb Bisons,North Florida Ospreys
Duquesne Dukes,Fordham Rams
Lamar Cardinals,New Orleans Privateers
Nicholls Colonels,Stephen F. Austin Lumberjacks
Pittsburgh Panthers,Louisville Cardinals
Central Arkansas Bears,Sam Houston State Bearkats
Arkansas Razorbacks,Florida Gators
Seton Hall Pirates,Butler Bulldogs
California Golden Bears,Arizona State Sun Devils
Florida State Seminoles,Miami (FL) Hurricanes
Kansas Jayhawks,TCU Horned Frogs
Saint Louis Billikens,Massachusetts Minutemen
Utah State Aggies,Fresno State Bulldogs
UC Santa Barbara Gauchos,Cal Poly Mustangs
UC Riverside Highlanders,CSUN Matadors
Stanford Cardinal,Arizona Wildcats
Hawaii Rainbow Warriors,Cal State Fullerton Titans
Appalachian State Mountaineers,UT Arlington Mavericks
Campbell Fighting Camels,Winthrop Eagles
Charleston Cougars,Drexel Dragons
Coastal Carolina Chanticleers,Texas State Bobcats
Citadel Bulldogs,East Tennessee State Buccaneers
Detroit Titans,Green Bay Phoenix
Elon Phoenix,Northeastern Huskies
Fairleigh Dickinson Knights,Central Connecticut State Blue Devils
Fairfield Stags,Saint Peter's Peacocks
FIU Golden Panthers,Charlotte 49ers
Georgia Southern Eagles,Louisiana-Monroe Warhawks
Georgia State Panthers,Louisiana Ragin' Cajuns
LIU Brooklyn Blackbirds,Saint Francis U Red Flash
Mercer Bears,Western Carolina Catamounts
UMKC Kangaroos,California Baptist Lancers
Mount St. Mary's Mountaineers,Bryant Bulldogs
UNCG Spartans,Wofford Terriers
UNCW Seahawks,Delaware Fightin' Blue Hens
Oakland Golden Grizzlies,Milwaukee Panthers
VMI Keydets,Furman Paladins
Wagner Seahawks,Sacred Heart Pioneers
William & Mary Tribe,Hofstra Pride
Purdue Fort Wayne Mastodons,Oral Roberts Golden Eagles
IUPUI Jaguars,Cleveland State Vikings
High Point Panthers,Presbyterian Blue Hose
Quinnipiac Bobcats,Monmouth Hawks
USC Upstate Spartans,Radford Highlanders
Longwood Lancers,UNC Asheville Bulldogs
Hampton Pirates,Charleston Southern Buccaneers
Little Rock Trojans,Troy Trojans
Belmont Bruins,Morehead State Eagles
Louisiana Tech Bulldogs,UAB Blazers
Arkansas State Red Wolves,South Alabama Jaguars
Illinois Fighting Illini,Michigan Wolverines
UIC Flames,Youngstown State Penguins
Southern Miss Golden Eagles,Middle Tennessee Blue Raiders
UT Rio Grande Valley Vaqueros,Bakersfield Roadrunners
North Dakota Fighting Hawks,Omaha Mavericks
North Dakota State Bison,Western Illinois Leathernecks
South Dakota State Jackrabbits,Denver Pioneers
UT Martin Skyhawks,Murray State Racers
Jacksonville State Gamecocks,Eastern Illinois Panthers
Southeast Missouri State Redhawks,Austin Peay Governors
Tennessee State Tigers,Eastern Kentucky Colonels
Tennessee Tech Golden Eagles,SIUE Cougars
BYU Cougars,Portland Pilots
Colorado Buffaloes,Washington State Cougars
New Mexico State Aggies,Grand Canyon Antelopes
St. Francis Brooklyn Terriers,Robert Morris Colonials
UTEP Miners,North Texas Mean Green
Eastern Washington Eagles,Montana Grizzlies
UC Irvine Anteaters,UC Davis Aggies
Idaho Vandals,Montana State Bobcats
Gonzaga Bulldogs,Pacific Tigers
Oregon State Beavers,USC Trojans
Santa Clara Broncos,Pepperdine Waves
Canisius Golden Griffins,Rider Broncs
Marist Red Foxes,Siena Saints
Maryland Terrapins,Indiana Hoosiers
Niagara Purple Eagles,Iona Gaels
Northern Kentucky Norse,Wright State Raiders
Wisconsin Badgers,Purdue Boilermakers
Ball State Cardinals,Ohio Bobcats
Bucknell Bison,American University Eagles
Eastern Michigan Eagles,Kent State Golden Flashes
North Carolina Tar Heels,Louisville Cardinals
Notre Dame Fighting Irish,Boston College Eagles
Citadel Bulldogs,Western Carolina Catamounts
